part	cluster	size	zValue_mean	zValue_median	zValue_max	zValue_min	zValue_peak_abs	cluster_mass	clsuter_mass_log	peak_x	peak_y	peak_z	peak_region	peak_region_name	num_regions	region_labels
cortex_left	1	90	-3.51934146351284	-3.44307267665863	-2.4	-4.8	4.79066848754883	320	5.75808355820853	-2.25945401191711	-31.0550918579102	32.0528411865234	194	RSC	3	RSC, d23ab, 23d
cortex_left	2	2060	-3.9306112620437	-3.87659418582916	-2.5	-6.7	6.73509550094604	8100	8.99925621298581	-32.4725494384766	-88.9875793457031	29.7795848846436	326	IP0	28	POS1, ProS, PCV, 23c, 31a, AIP, IP2, PFm, MIP, IPS1, POS2, DVT, 7PL, 7Am, 7Pm, 7m, V3B, IP0, PGp, PGs, IP1, LIPd, LIPv, V4, V3CD, TPOJ3, PGi, V2
cortex_left	3	221	-3.19424909272345	-3.09451079368591	-2.5	-4.3	4.34408378601074	710	6.55951473597271	-28.5748977661133	-52.2201690673828	-18.019115447998	307	PHA3	10	PHA1, VMV1, ProS, PreS, V2, VMV2, PHA3, PHA2, VVC, VMV3
cortex_left	5	27	-2.85639234825417	-2.84894490242004	-2.5	-3.3	3.32188892364502	77	4.34539627788603	-8.65372657775879	-54.5493240356445	5.23649454116821	211	POS1	2	RSC, POS1
cortex_left	7	84	-3.04354231414341	-3.02683103084564	-2.5	-3.7	3.73601341247559	260	5.54383887081775	-5.98859119415283	25.4348678588867	52.024730682373	243	8BM	4	SFL, 8BM, SCEF, a32pr
cortex_left	11	216	-3.48538710563271	-3.37042629718781	-2.5	-5.1	5.09992599487305	750	6.62385752338443	-27.1869525909424	19.6111717224121	58.827522277832	277	i6-8	8	FEF, 6a, 6ma, s6-8, 8Ad, i6-8, 8Av, 55b
cortex_left	14	107	-3.21265340965485	-3.20430612564087	-2.5	-4.1	4.05528354644775	340	5.83992603752122	-47.2952766418457	16.0603294372559	34.4573173522949	260	IFJp	4	8C, IFJa, IFJp, PEF
cortex_left	15	131	-3.08528137207031	-3.05748128890991	-2.6	-3.9	3.86332607269287	400	6.00184018290522	-44.7759094238281	41.612548828125	25.3405780792236	263	p9-46v	4	8C, p9-46v, IFSa, IFSp
cortex_left	17	55	-3.04924584735524	-2.93728041648865	-2.5	-3.8	3.84136962890625	170	5.122227482115	-36.4557952880859	60.5483512878418	7.79874420166016	265	a9-46v	3	a9-46v, 9-46d, p10p
cortex_left	29	483	-4.25131515587832	-4.16423511505127	-2.5	-6.8	6.76067638397217	2100	7.62724503716156	-13.7825260162354	-92.5396575927734	-12.0049619674683	184	V2	4	V1, V2, V3, V4
cortex_left	32	22	-2.94445186311548	-2.92572724819183	-2.5	-3.4	3.41259789466858	65	4.17096512855975	-6.31659555435181	-90.0233993530273	8.65818691253662	181	V1	1	V1
cortex_right	38	2303	-3.92909123594224	-3.7486469745636	-2.4	-6.9	6.87804460525513	9000	9.11037606128857	36.9580078125	-87.1876983642578	24.7612724304199	146	IP0	35	PFm, POS1, ProS, RSC, 31a, PCV, 31pv, 23c, d23ab, IP2, AIP, MIP, IPS1, 7m, POS2, DVT, 7PROI, 7Am, V6A, 7Pm, 31pd, V4, V3B, IP0, PGp, PGs, V3A, IP1, LIPd, LIPv, LO1, V3CD, PGi, V1, V6
cortex_right	39	244	-3.48552991718542	-3.47715890407562	-2.5	-4.9	4.86737298965454	850	6.74578831452744	24.8934230804443	-51.3864326477051	-16.0573825836182	160	VMV2	7	VMV2, PHA1, VMV1, PHA3, PHA2, VVC, VMV3
cortex_right	40	118	-3.85231957193148	-3.9018589258194	-2.5	-4.9	4.90361166000366	450	6.11936007755937	3.00150942802429	-31.9083347320557	32.2723007202148	14	RSC	1	RSC
cortex_right	44	63	-3.1209476145487	-3.1711311340332	-2.5	-3.8	3.83957934379578	200	5.28127140471031	6.83144283294678	29.1514415740967	44.00146484375	179	a32pr	3	8BM, SCEF, a32pr
cortex_right	46	402	-3.3355513983105	-3.30289280414581	-2.5	-4.7	4.68574190139771	1300	7.20109009114472	31.8456802368164	21.5775547027588	58.0133781433105	97	i6-8	10	FEF, 6a, 8C, IFJp, IFJa, PEF, s6-8, 8Ad, i6-8, 8Av
cortex_right	50	186	-3.22423248393561	-3.1509006023407	-2.5	-4.5	4.50607585906982	600	6.39644160615962	48.7569236755371	39.9182662963867	20.8278026580811	81	IFSp	4	8C, p9-46v, IFSp, IFSa
cortex_right	70	472	-4.43833838731556	-4.44982981681824	-2.4	-7.2	7.17988300323486	2100	7.64725905489442	13.6758546829224	-91.9116897583008	-6.08914995193481	1	V1	5	V1, V2, V3, V4, V8
cortex_right	74	28	-2.96904897689819	-2.89977693557739	-2.6	-3.6	3.63322305679321	83	4.42044620191312	10.2560911178589	-91.3970642089844	9.40524005889893	1	V1	2	V1, V2
cortex_right	77	58	-3.03152534468421	-2.92624080181122	-2.5	-4.5	4.47654914855957	180	5.16950891748453	23.1694526672363	66.5302047729492	2.30668091773987	170	p10p	3	p10p, 10pp, 10d
cortex_right	80	23	-2.99263509460118	-3.06171083450317	-2.5	-3.5	3.54673433303833	69	4.23164851775488	26.9271678924561	42.8183631896973	44.1685943603516	68	8Ad	2	8Ad, 46
subcort	82	172	-3.22961078410925	-3.10865223407745	-2.5	-4.8	4.76807451248169	560	6.3198561065115	-38	-70	-52	361	CEREBELLUM_LEFT	1	CEREBELLUM_LEFT
subcort	84	283	-3.3362226755796	-3.22298622131348	-2.4	-5.3	5.32476568222046	940	6.85028612918656	10	-46	-48	371	CEREBELLUM_RIGHT	2	CEREBELLUM_RIGHT, BRAIN_STEM
subcort	86	185	-3.33788953600703	-3.20964312553406	-2.4	-4.7	4.74029302597046	620	6.42569455690251	34	-70	-50	371	CEREBELLUM_RIGHT	1	CEREBELLUM_RIGHT
subcort	87	198	-3.29910928311974	-3.2509970664978	-2.5	-4.8	4.78545999526978	650	6.48191954852744	-24	-32	-42	361	CEREBELLUM_LEFT	1	CEREBELLUM_LEFT
subcort	92	372	-3.56459841676938	-3.4468435049057	-2.5	-5.7	5.69863367080688	1300	7.18994525572687	-4	-80	-40	361	CEREBELLUM_LEFT	1	CEREBELLUM_LEFT
subcort	99	271	-3.50671164927887	-3.37962746620178	-2.5	-6	6.01306104660034	950	6.85679756718	8	-78	-24	371	CEREBELLUM_RIGHT	1	CEREBELLUM_RIGHT
subcort	106	20	-3.09115771055222	-3.09619891643524	-2.6	-4	4.03095531463623	62	4.12427795790389	-10	-58	-38	361	CEREBELLUM_LEFT	1	CEREBELLUM_LEFT
subcort	112	201	-3.19332215323377	-3.15074849128723	-2.5	-4.6	4.58718681335449	640	6.46436671029259	28	-64	-30	371	CEREBELLUM_RIGHT	1	CEREBELLUM_RIGHT
subcort	113	250	-3.33249530601501	-3.21963822841644	-2.5	-5	4.96467781066895	830	6.72518228238435	-26	-60	-32	361	CEREBELLUM_LEFT	1	CEREBELLUM_LEFT
subcort	141	47	-2.97920652146035	-2.92899632453918	-2.5	-4	4.01067113876343	140	4.94180459880544	18	-32	6	372	THALAMUS_RIGHT	1	THALAMUS_RIGHT
